year,country,iso3c,pop,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_population_15_to_65,gdp_ppp_over_pop_adjusted_for_hours,gdp_over_pop_rank,gdp_ppp_over_pop_rank,gdp_ppp_over_population_15_to_65_rank,gdp_ppp_over_pop_adjusted_for_hours_rank
2023,Angola,AGO,36684202,2309.5216202979063,8040.543600620779,15295.842404104142,10968.09075407123,137,126,119,120
2023,Albania,ALB,2745972,8367.775731434225,21395.32503726331,31993.73721740409,24171.904466947744,83,82,81,80
2023,Andorra,AND,80088,46544.7207199483,71587.48177605771,99382.8674527364,65926.2140637478,23,14,21,21
2023,United Arab Emirates,ARE,9516871,52976.8083782405,83902.67112595253,101187.48673029976,69222.51284463656,17,8,19,17
2023,Argentina,ARG,46654581,13730.514709024674,29362.69241873226,45030.44145438357,34188.06947547816,65,66,64,62
2023,Armenia,ARM,2777970,8715.765336221773,23054.60052306911,34979.02657033999,25155.51054211163,80,78,75,78
2023,Antigua and Barbuda,ATG,94298,21560.21532996649,31802.377196501835,44984.63308896317,33004.19076632569,51,61,65,63
2023,Australia,AUS,26638544,64711.76560305661,69114.73789450654,106681.95387372654,67283.49328048815,10,19,17,20
2023,Austria,AUT,9132383,56505.96827968669,73751.35270638003,112729.74187673727,86290.50680433365,12,13,13,8
2023,Azerbaijan,AZE,10112555,7155.083603558962,23685.538639855306,34098.11842114874,26694.163425775045,92,76,78,73
2023,Burundi,BDI,13238559,199.58076018149256,950.879813933231,1816.1449984929416,1244.3221915666102,179,179,179,179
2023,Belgium,BEL,11822592,53475.2934952935,70455.95842579563,110836.92140815036,92622.52454854434,15,16,14,4
2023,Benin,BEN,13712828,1434.66283439144,4248.310817396215,7771.966889495716,6044.42330755682,154,150,149,145
2023,Burkina Faso,BFA,23251485,874.1212803813435,2726.9423099800206,5036.612241756101,3568.4791933844936,167,166,166,162
2023,Bangladesh,BGD,172954319,2529.080126880174,9065.698934284492,13291.73738274778,8053.228232703824,133,124,125,133
2023,Bulgaria,BGR,6430370,15797.595577359623,38689.54807491653,60712.51524706173,37902.51626360075,60,54,54,58
2023,Bahrain,BHR,1485509,29084.307129744753,63847.82972826648,83911.58720516617,64358.27876227773,37,21,31,23
2023,"Bahamas, The",BHS,412623,34749.638289673625,35554.79948063971,49226.666396330496,36378.49284118486,29,56,57,60
2023,Bosnia and Herzegovina,BIH,3210847,8426.091110191548,22845.518548678097,34298.47602047403,25508.202970397226,81,79,77,76
2023,Belarus,BLR,9178298,7829.0531366062205,30751.49541885511,46798.96596587869,37262.5124093303,87,64,62,59
2023,Belize,BLZ,410825,7987.585955090367,14195.313620776536,21031.90501493247,14411.40490357401,86,107,111,106
2023,Bolivia,BOL,12388571,3700.978337728694,10726.998807830298,16596.29826434487,10856.111689923016,124,117,116,123
2023,Brazil,BRA,216422446,10043.623922156716,20584.419166157884,29497.11405079004,23382.932057092265,78,84,88,81
2023,Barbados,BRB,281995,22672.61543507314,19357.16944286764,29081.181425131508,22842.768201804374,46,88,90,82
2023,Brunei Darussalam,BRN,452524,33430.918478378604,86445.66052686023,120586.1071323096,54967.47364032076,31,7,10,30
2023,Bhutan,BTN,787424,3849.954012109632,15613.574135001954,21659.246378698524,16432.889923718758,119,102,108,104
2023,Botswana,BWA,2675352,7249.799325962602,19383.17259581999,30278.042380523824,27489.841725025897,90,87,85,70
2023,Central African Republic,CAF,5742315,445.02819598860566,1129.980453999338,2276.358750982629,1478.6934524688731,177,178,178,178
2023,Canada,CAN,40097761,53371.697431970075,61582.34997132658,94670.664550948,63435.287258543394,16,23,22,24
2023,Switzerland,CHE,8849852,99994.93802047866,92980.401876095,142320.91219289324,89983.76065828039,2,6,6,6
2023,Chile,CHL,19629590,17093.24197139212,33284.49473386489,48695.951643309025,32514.6707668041,58,59,58,65
2023,China,CHN,1410710000,12614.060994892288,24557.6389534489,35618.9447209821,17551.924080027187,69,75,74,97
2023,Cote d'Ivoire,CIV,28873034,2728.8032462007077,7790.855519576294,13795.673030368916,11084.694767506868,130,127,124,119
2023,Cameroon,CMR,28647293,1673.6488885722258,5380.158889995784,9712.204124756216,7654.797210195886,148,143,141,136
2023,"Congo, Dem. Rep.",COD,102262808,649.1439879393582,1670.84721852628,3301.754571002161,2186.472193714677,172,175,172,175
2023,"Congo, Rep.",COG,6106869,2508.82339515164,6932.938209352386,12246.611797881036,9639.90165047841,134,135,130,127
2023,Colombia,COL,52085168,6979.72513470376,21548.013368591804,30999.898724094743,18290.231588434704,94,81,84,92
2023,Comoros,COM,852075,1587.16189555687,3854.788784688847,6652.70964600056,5489.324909176191,153,154,154,148
2023,Cabo Verde,CPV,598682,4321.579864277864,9086.233539933051,13259.083641029378,12682.534916157292,115,123,126,113
2023,Costa Rica,CRI,5212173,16595.370383718535,27952.476623518633,40504.780578652055,27491.06446415248,59,67,68,69
2023,Cyprus,CYP,1260138,25576.26440056176,42085.18654678329,61031.715282791985,47703.27286241037,41,50,52,46
2023,Czechia,CZE,10873689,30427.423468860103,53816.80338952319,84856.86297547002,52864.93465300468,35,33,30,36
2023,Germany,DEU,84482267,52745.75570641304,69338.29322644668,109600.9147444476,82830.81202531904,18,18,15,12
2023,Djibouti,DJI,1136455,3606.416896012398,7204.048435597212,11021.43804369848,7681.89066823197,125,131,136,135
2023,Dominica,DMA,73040,8953.896393655436,17598.643617954,24860.36031051852,17996.683069148963,79,94,99,93
2023,Denmark,DNK,5946952,67967.3818685562,76687.90284373071,121085.0350363739,90774.46358386462,8,12,9,5
2023,Dominican Republic,DOM,11332972,10716.013355890318,25610.511865840133,39101.633466827705,21629.383771525783,75,69,69,84
2023,Algeria,DZA,45606480,5260.206249807966,17026.961674786697,27051.63085567,17782.221018787335,108,98,92,96
2023,Ecuador,ECU,18190484,6533.35150400616,15870.261702033546,23815.85475379977,18609.94557566744,98,100,101,90
2023,"Egypt, Arab Rep.",EGY,112716598,3512.5800652979783,18816.505592213492,30122.332041524864,19062.453778368377,126,89,86,88
2023,Spain,ESP,48373336,32676.98371093757,52779.23405737036,80212.46399128438,65393.447289773074,33,35,34,22
2023,Estonia,EST,1366188,29823.74960690161,48992.140951181536,77975.61568146956,48872.12790129017,36,39,35,44
2023,Ethiopia,ETH,126527060,1293.7780075976,3109.2765123205027,5403.1023759300515,4068.802079196208,158,162,162,157
2023,Finland,FIN,5584264,53755.91173627966,65060.67416183207,105842.98071302607,75854.1298023551,14,20,18,15
2023,Fiji,FJI,936375,5868.159167783901,15046.466827045148,22932.9538206699,14011.71819635056,102,105,103,107
2023,France,FRA,68170228,44460.81784570091,61156.77281925667,100324.69481221485,80223.55888098506,24,24,20,14
2023,"Micronesia, Fed. Sts.",FSM,115224,3992.223842255086,4216.507379914402,6621.187106903485,3916.385258134632,117,151,155,159
2023,Gabon,GAB,2436566,8420.102057018279,21946.99085295596,36567.00235957493,30476.583072132205,82,80,72,68
2023,United Kingdom,GBR,68350000,48866.603960029846,58906.23885754177,93021.98634144332,69332.95600686186,21,25,23,16
2023,Georgia,GEO,3760365,8120.363443182431,24681.25059514156,38604.66227208442,27068.1361352944,85,74,70,72
2023,Ghana,GHA,34121985,2238.15802077213,7466.3668886044,12496.55277813301,10616.267148400388,138,129,127,124
2023,Guinea,GIN,14190612,1663.9378074811784,4429.343565551514,7983.766001445485,6297.901480714963,149,149,147,144
2023,"Gambia, The",GMB,2773168,843.7657425702806,3162.5067975951765,5752.6577841287435,4223.673398388756,168,160,159,155
2023,Guinea-Bissau,GNB,2150842,914.2751538041056,2630.2925401946213,4572.40371438743,3439.9474658770373,164,168,167,164
2023,Equatorial Guinea,GNQ,1714671,7066.616592577351,18723.64708382121,31864.951583439502,26104.876447114108,93,90,82,74
2023,Greece,GRC,10361295,22990.01356804608,41186.81220278942,65114.95686953823,39272.24429338175,45,51,48,56
2023,Grenada,GRD,126183,10463.645939539954,17654.097688067726,26812.63099797128,18318.212843335325,76,93,94,91
2023,Guatemala,GTM,17602431,5797.521595945242,14066.511790270788,22253.845045503826,13892.852700165053,103,108,106,108
2023,Guyana,GUY,813834,20626.199149056687,55262.52483436303,84918.95395360987,52626.62745206108,53,28,29,37
2023,"Hong Kong SAR, China",HKG,7536100,50696.59031840461,71481.56813062473,107075.9488073792,55324.62690891222,20,15,16,29
2023,Honduras,HND,10593798,3247.23105462683,7210.689277512644,10934.234585361668,7397.50109500039,128,130,137,137
2023,Croatia,HRV,3853200,21459.78478080364,45909.634484175745,72574.66477389973,47931.765074819625,52,44,43,45
2023,Haiti,HTI,11724763,1693.0687432869304,3255.537745615114,5118.667946283058,3210.370717861337,147,159,165,165
2023,Hungary,HUN,9589872,22147.209729047896,45942.16949068225,69743.01446260446,46664.506774798465,49,43,44,47
2023,Indonesia,IDN,277534122,4940.549805011579,15612.799123651974,22928.533376018415,13772.664424459144,109,103,104,109
2023,India,IND,1428627663,2484.845429440302,10175.767974032013,14958.302365511754,11367.338489133905,136,119,122,117
2023,"Iran, Islamic Rep.",IRN,89172767,4502.5463291805,17921.664268460794,26044.31941930186,17807.853126867576,112,92,95,95
2023,Iraq,IRQ,45504560,5512.475719784215,13968.57416512088,23563.213360891223,15344.409056874869,105,109,102,105
2023,Iceland,ISL,393600,78811.0583922693,77567.1918125747,117607.99205465976,86599.02756672598,7,11,11,7
2023,Israel,ISR,9756700,52261.67615096324,53433.99639160649,89224.40928500035,53098.32939821585,19,34,26,35
2023,Italy,ITA,58761146,38373.16604975335,58754.90787787206,92759.23099321342,68896.20121256211,25,26,25,18
2023,Jamaica,JAM,2825544,6874.20028399388,11475.005735271792,15757.789731726862,10907.666823180014,95,115,118,122
2023,Jordan,JOR,11337052,4482.086026303364,10451.912588474588,16199.76041093342,11227.39033451116,113,118,117,118
2023,Japan,JPN,124516650,33834.39210564531,50206.60915800088,85876.87154375753,49184.40551937749,30,37,28,43
2023,Kazakhstan,KAZ,19900177,13136.62290971442,39332.47002041539,63261.89580720749,46506.10721254397,66,53,51,48
2023,Kenya,KEN,55100586,1949.8989690971343,6323.533600789146,10561.693854314815,8991.296976086862,144,137,139,129
2023,Kyrgyz Republic,KGZ,7100800,1969.8664810779208,7102.767219456976,11652.76118428342,8386.541087452451,143,133,134,132
2023,Cambodia,KHM,16944826,1875.071481929475,5624.137515330762,8609.415571505291,3705.7726865822538,145,142,144,161
2023,Kiribati,KIR,133515,2089.910160719178,3521.7454203278357,5850.951169616632,3206.901676519497,141,156,156,166
2023,St. Kitts and Nevis,KNA,47755,22553.30564571479,33402.82667908575,47599.426714601934,34665.12132219864,48,58,61,61
2023,"Korea, Rep.",KOR,51712619,33121.371288550865,54033.15997725198,76766.32121783607,45317.71923136746,32,32,37,49
2023,Kuwait,KWT,4310108,37533.21771773283,56386.29432528675,75759.07395628636,56317.70129713741,27,27,39,27
2023,Lao PDR,LAO,7633779,2075.4014140644103,9326.2721937472,14313.007113392645,7048.15928687035,142,122,123,139
2023,Liberia,LBR,5418377,799.5014005116292,1819.047669808472,3208.182077274654,2380.4074393981723,169,173,174,173
2023,Libya,LBY,6888388,7329.976541068432,19641.14394562095,29174.86077065155,20939.694112523444,89,86,89,85
2023,St. Lucia,LCA,180251,13980.09408283155,25128.69967851152,34536.58593786794,25643.372790957194,63,71,76,75
2023,Sri Lanka,LKA,22037000,3827.964805605573,14455.301616803876,22012.464139959444,16927.057659266535,120,106,107,99
2023,Lesotho,LSO,2330318,878.0085054737336,2793.8623116676263,4510.278929269608,3778.280622757064,166,165,168,160
2023,Lithuania,LTU,2871897,27102.78152829715,51877.006519276976,81882.39075555824,54518.25910700112,40,36,33,32
2023,Luxembourg,LUX,668606,128259.40258328164,143341.47312464545,207871.5472324562,111792.99815456872,1,1,1,2
2023,Latvia,LVA,1881750,23184.31166801488,42501.02788204948,68193.72859642729,51151.94150499554,44,49,45,39
