year,iso3c,employment_rate
1955,USA,61.46822
1956,USA,62.4337
1957,USA,62.20108
1958,USA,60.5542
1959,USA,61.39219
1960,USA,61.52728
1961,USA,60.87849
1962,USA,61.47677
1963,USA,61.48097
1964,USA,61.79631
1965,USA,62.41243
1966,USA,63.37987
1967,USA,63.80169
1968,USA,64.08068
1969,USA,64.61467
1970,USA,63.99263
1971,USA,63.17525
1972,USA,63.7738
1973,USA,64.85249
1974,USA,64.99554
1975,USA,63.08882
1976,USA,64.14752
1977,USA,65.39526
1978,USA,67.09882
1979,USA,67.91239
1980,USA,67.18594
1981,USA,67.07856
1982,USA,65.76852
1983,USA,66.00588
1984,USA,68.13399
1985,USA,69.00044
1986,USA,69.68153
1987,USA,70.74065
1988,USA,71.64634
1989,USA,72.4952
1990,USA,72.19167
1991,USA,70.96761
1992,USA,70.80585
1993,USA,71.20782
1994,USA,72.00175
1995,USA,72.5349
1996,USA,72.85875
1997,USA,73.50204
1998,USA,73.84345
1999,USA,73.94605
2000,USA,74.09456
2001,USA,73.13562
2002,USA,71.92931
2003,USA,71.22334
2004,USA,71.22248
2005,USA,71.53017
2006,USA,71.99708
2007,USA,71.78132
2008,USA,70.88825
2009,USA,67.62595
2010,USA,66.68977
2011,USA,66.64754
2012,USA,67.13661
2013,USA,67.35994
2014,USA,68.14875
2015,USA,68.70962
2016,USA,69.35136
2017,USA,70.11017
2018,USA,70.72614
2019,USA,71.35841
2020,USA,67.06998
2021,USA,69.40365
2022,USA,71.27018
2023,USA,71.95479
1979,AUS,64.38335
1980,AUS,65.17445
1981,AUS,65.36742
1982,AUS,64.16441
1983,AUS,61.94022
1984,AUS,62.82397
1985,AUS,63.7218
1986,AUS,65.14481
1987,AUS,65.30288
1988,AUS,66.48173
1989,AUS,68.19857
1990,AUS,68.37136
1991,AUS,65.9215
1992,AUS,64.93269
1993,AUS,64.61858
1994,AUS,66.00251
1995,AUS,67.62838
1996,AUS,67.66373
1997,AUS,67.36479
1998,AUS,67.80048
1999,AUS,68.23203
2000,AUS,69.09614
2001,AUS,69.00098
2002,AUS,69.35914
2003,AUS,70.01125
2004,AUS,70.29926
2005,AUS,71.54403
2006,AUS,72.12262
2007,AUS,72.80006
2008,AUS,73.20431
2009,AUS,72.05107
2010,AUS,72.37024
2011,AUS,72.65694
2012,AUS,72.34558
2013,AUS,71.97044
2014,AUS,71.56635
2015,AUS,72.15796
2020,AUS,72.35858
1999,AUT,68.525
2000,AUT,68.5
2001,AUT,68.375
2002,AUT,68.75
2005,AUT,67.4
2007,AUT,69.875
2008,AUT,70.825
2009,AUT,70.325
2010,AUT,70.775
2011,AUT,71.1
2012,AUT,71.425
2013,AUT,71.4
2014,AUT,71.075
2015,AUT,71.1
2016,AUT,71.55
2017,AUT,72.2
2018,AUT,73.025
2019,AUT,73.525
2020,AUT,71.725
2021,AUT,72.4
2022,AUT,74.025
2023,AUT,74.1
1999,BEL,59.3
2001,BEL,59.95
2002,BEL,59.9
2003,BEL,59.6
2005,BEL,61.075
2006,BEL,61
2007,BEL,62.025
2009,BEL,61.6
2010,BEL,62.025
2011,BEL,61.925
2012,BEL,61.825
2013,BEL,61.8
2014,BEL,61.9
2015,BEL,61.8
2017,BEL,63.125
2018,BEL,64.45
2019,BEL,65.3
2020,BEL,64.45
2021,BEL,65.3
2022,BEL,66.525
2023,BEL,66.55
1976,CAN,63.075
1977,CAN,62.93333
1978,CAN,63.7
1979,CAN,65.38333
1980,CAN,66.13333
1981,CAN,67
1982,CAN,63.90833
1983,CAN,63.65833
1984,CAN,64.58334
1985,CAN,66.00833
1986,CAN,67.40833
1987,CAN,68.575
1988,CAN,69.98333
1989,CAN,70.76667
1990,CAN,70.35
1991,CAN,68.25833
1992,CAN,66.80833
1993,CAN,66.45834
1994,CAN,67.025
1995,CAN,67.525
1996,CAN,67.35
1997,CAN,67.98333
1998,CAN,68.95
1999,CAN,69.98333
2000,CAN,70.9
2001,CAN,70.79166
2002,CAN,71.41666
2003,CAN,72.18333
2004,CAN,72.45
2005,CAN,72.44167
2006,CAN,72.84167
2007,CAN,73.46667
2008,CAN,73.45834
2009,CAN,71.50833
2010,CAN,71.55833
2018,CAN,74.025
2005,CHL,54.44468
2006,CHL,55.5009
2007,CHL,56.3303
2008,CHL,57.2645
2009,CHL,56.06453
2010,CHL,60.1041
2011,CHL,62.04338
2012,CHL,62.65226
2013,CHL,63.15082
2014,CHL,63.23605
2015,CHL,63.49899
2016,CHL,63.34484
2017,CHL,63.90356
2018,CHL,64.0955
2019,CHL,64.09287
2020,CHL,55.84916
2021,CHL,58.47194
2022,CHL,61.93064
2023,CHL,62.87914
2007,COL,59.995
2008,COL,60.21
2009,COL,62.0225
2010,COL,63.35083
2011,COL,64.82417
2012,COL,66.015
2013,COL,66.21416
2014,COL,66.71
2015,COL,67.385
2016,COL,67.0325
2017,COL,66.93333
2018,COL,66.45084
2019,COL,65.36667
2020,COL,57.83167
2021,COL,57.84833
2022,COL,61.59167
2023,COL,62.97167
2011,CRI,58.08942
2012,CRI,61.81253
2013,CRI,61.76549
2014,CRI,61.74079
2015,CRI,60.69011
2016,CRI,58.71328
2017,CRI,59.7869
2018,CRI,60.95155
2019,CRI,61.64743
2020,CRI,54.83073
2021,CRI,57.15372
2022,CRI,60.05968
2023,CRI,58.64424
1998,CZE,67.325
1999,CZE,65.625
2000,CZE,64.975
2001,CZE,65.025
2002,CZE,65.425
2003,CZE,64.725
2005,CZE,64.8
2006,CZE,65.275
2007,CZE,66.075
2008,CZE,66.55
2009,CZE,65.375
2011,CZE,65.725
2012,CZE,66.55
2013,CZE,67.725
2014,CZE,68.975
2015,CZE,70.225
2016,CZE,71.95
2017,CZE,73.625
2018,CZE,74.825
2019,CZE,75.125
2020,CZE,74.4
2022,CZE,75.475
2023,CZE,75.1
1999,DNK,76.05
2000,DNK,76.25
2001,DNK,76.2
2002,DNK,75.875
2003,DNK,75.125
2005,DNK,75.9
2006,DNK,77.375
2008,DNK,76.325
2009,DNK,73.525
2010,DNK,71.8
